1 玩家1 落子于(8, 8) 用时: 1.112 s
2 玩家2 落子于(7, 8) 用时: 0.082 s
3 玩家1 落子于(9, 8) 用时: 1.292 s
4 玩家2 落子于(10, 8) 用时: 0.075 s
5 玩家1 落子于(9, 7) 用时: 0.779 s
6 玩家2 落子于(11, 8) 用时: 0.075 s
7 玩家1 落子于(9, 9) 用时: 0.924 s
8 玩家2 落子于(6, 8) 用时: 0.073 s
9 玩家1 落子于(9, 6) 用时: 1.566 s
10 玩家2 落子于(12, 8) 用时: 0.071 s
11 玩家1 落子于(9, 10) 用时: 1.340 s
玩家 PK a2, 用时: 00:07, 共经历11步厮杀, 玩家1 赢了
